SYMBOL,Gene,Feature
MYOM2,ENSG00000036448,ENST00000621894
MYOM2,ENSG00000036448,ENST00000523443
MYOM2,ENSG00000036448,ENST00000612167
MYOM2,ENSG00000036448,ENST00000262113
MYOM2,ENSG00000036448,ENST00000523438
MYOM2,ENSG00000036448,ENST00000520072
MYOM2,ENSG00000036448,ENST00000519631
hsa-mir-4477a,ENSG00000276029,ENST00000612572
,,ENSR00002116385
hsa-mir-4477a,ENSG00000276029,ENST00000612572
,,ENSR00002116385
,,MA0058.2
hsa-mir-4477a,ENSG00000276029,ENST00000612572
,,ENSR00002116385
PPP2R4,ENSG00000119383,ENST00000357197
PPP2R4,ENSG00000119383,ENST00000355007
CRAT,ENSG00000095321,ENST00000393384
CRAT,ENSG00000095321,ENST00000318080
PPP2R4,ENSG00000119383,ENST00000337738
PPP2R4,ENSG00000119383,ENST00000453358
PPP2R4,ENSG00000119383,ENST00000348141
PPP2R4,ENSG00000119383,ENST00000452489
PPP2R4,ENSG00000119383,ENST00000393370
AL158151.2,ENSG00000221521,ENST00000408594
CRAT,ENSG00000095321,ENST00000441796
PPP2R4,ENSG00000119383,ENST00000417728
CRAT,ENSG00000095321,ENST00000464290
PPP2R4,ENSG00000119383,ENST00000347048
PPP2R4,ENSG00000119383,ENST00000455292
PPP2R4,ENSG00000119383,ENST00000445241
CRAT,ENSG00000095321,ENST00000455830
CRAT,ENSG00000095321,ENST00000458362
PPP2R4,ENSG00000119383,ENST00000358994
CRAT,ENSG00000095321,ENST00000415948
PPP2R4,ENSG00000119383,ENST00000414331
,,ENSR00002127384
NTM,ENSG00000182667,ENST00000550167
NTM,ENSG00000182667,ENST00000374791
NTM,ENSG00000182667,ENST00000539799
NTM,ENSG00000182667,ENST00000425719
NTM,ENSG00000182667,ENST00000427481
NTM,ENSG00000182667,ENST00000374784
NTM,ENSG00000182667,ENST00000467255
NTM,ENSG00000182667,ENST00000479431
NTM,ENSG00000182667,ENST00000498764
NTM,ENSG00000182667,ENST00000374786
OPCML,ENSG00000183715,ENST00000524381
OPCML,ENSG00000183715,ENST00000529038
MCRS1,ENSG00000187778,ENST00000553173
MCRS1,ENSG00000187778,ENST00000546244
KCNH3,ENSG00000135519,ENST00000548675
MCRS1,ENSG00000187778,ENST00000548646
MCRS1,ENSG00000187778,ENST00000357123
MCRS1,ENSG00000187778,ENST00000547182
MCRS1,ENSG00000187778,ENST00000552596
MCRS1,ENSG00000187778,ENST00000549000
MCRS1,ENSG00000187778,ENST00000343810
MCRS1,ENSG00000187778,ENST00000550165
MCRS1,ENSG00000187778,ENST00000551598
KCNH3,ENSG00000135519,ENST00000257981
MCRS1,ENSG00000187778,ENST00000551625
MCRS1,ENSG00000187778,ENST00000548602
MCRS1,ENSG00000187778,ENST00000551625
KCNH3,ENSG00000135519,ENST00000257981
MCRS1,ENSG00000187778,ENST00000548602
MCRS1,ENSG00000187778,ENST00000549000
MCRS1,ENSG00000187778,ENST00000343810
MCRS1,ENSG00000187778,ENST00000550165
